Ein,Eout
0.3775,0.3883333333333333
0.3775,0.3883333333333333
0.38,0.3883333333333333
0.3465,0.3566666666666667
0.371,0.38
0.3485,0.36833333333333335
0.3535,0.375
0.3515,0.37333333333333335
0.348,0.36
0.352,0.4
0.344,0.37666666666666665
0.349,0.39166666666666666
0.34,0.39
0.3335,0.395
0.342,0.3983333333333333
0.334,0.40166666666666667
0.3375,0.3883333333333333
0.3385,0.38666666666666666
0.3325,0.37666666666666665
0.3335,0.40166666666666667
0.3285,0.38333333333333336
0.333,0.4116666666666667
0.328,0.4
0.337,0.41
0.326,0.4066666666666667
0.322,0.41333333333333333
0.3215,0.4066666666666667
0.3145,0.4066666666666667
0.3155,0.41333333333333333
0.313,0.41333333333333333
0.3145,0.40166666666666667
0.314,0.40166666666666667
0.31,0.405
0.306,0.3883333333333333
0.3035,0.3933333333333333
0.3015,0.39166666666666666
0.3005,0.3933333333333333
0.305,0.40166666666666667
0.3025,0.3983333333333333
0.299,0.4066666666666667
0.2985,0.39
0.2955,0.405
0.2985,0.385
0.292,0.4033333333333333
0.298,0.395
0.2815,0.39166666666666666
0.292,0.385
0.2865,0.39166666666666666
0.287,0.38166666666666665
0.2865,0.3933333333333333
0.288,0.3933333333333333
0.2825,0.3983333333333333
0.2825,0.40166666666666667
0.28,0.38666666666666666
0.286,0.4
0.285,0.39666666666666667
0.285,0.39
0.282,0.385
0.2775,0.37333333333333335
0.2795,0.38666666666666666
0.274,0.38
0.281,0.375
0.2795,0.375
0.278,0.37333333333333335
0.269,0.37333333333333335
0.2715,0.37
0.2655,0.375
0.266,0.37333333333333335
0.262,0.38333333333333336
0.264,0.38166666666666665
0.2655,0.375
0.274,0.37166666666666665
0.261,0.38
0.263,0.37833333333333335
0.264,0.38
0.262,0.38
0.264,0.37666666666666665
0.2595,0.375
0.2555,0.37166666666666665
0.2565,0.365
0.258,0.37666666666666665
0.2575,0.36666666666666664
0.2545,0.37833333333333335
0.2555,0.365
0.2515,0.37
0.256,0.37166666666666665
0.2595,0.37
0.2575,0.355
0.264,0.37333333333333335
