Ein,epsilon
0.482,0.4738526552642382
0.4825,0.47277471296023277
0.4805,0.4733648025146422
0.496,0.47109978102916916
0.488,0.4721079626319207
0.4875,0.46548213114532055
0.4805,0.47302044252672576
0.4905,0.4712108202596057
0.494,0.4722958943562173
0.4875,0.4736279831090393
0.4875,0.4742698629934813
0.4835,0.4725921663208307
0.486,0.47269694784553373
0.481,0.4657055627837866
0.487,0.46867136432103274
0.495,0.4690585432936883
0.4885,0.4737042917534713
0.4675,0.4720040033439711
0.4845,0.47131243207267304
0.4865,0.4729867969165583
0.4955,0.47475077961059137
0.467,0.47457537870436484
0.485,0.4724749663670042
0.4075,0.4733661393349399
0.488,0.47217180941779135
0.482,0.4682721666911587
0.477,0.46946868625303495
0.4415,0.4706896184805708
0.5195,0.470911419779435
0.491,0.4727062001423975
0.488,0.47032679667230115
0.496,0.47338636067217726
0.491,0.4688620512510895
0.4805,0.46984354294535957
0.485,0.4700175418807412
0.4845,0.47033657812614527
0.492,0.4730026375179109
0.4835,0.47419777411668407
0.4835,0.47468438117189937
0.479,0.4705666227498618
0.4725,0.4699300564167484
0.4835,0.47007610436997926
0.4935,0.46799600289931004
0.4885,0.4706545851783182
0.4935,0.4685068929002032
0.488,0.470348598471816
0.481,0.4733497220079091
0.49,0.4747623213029397
0.4755,0.47216294679060006
0.4715,0.47483011289792415
0.4805,0.47512033887436167
0.4885,0.4749336676776324
0.476,0.46751719963372174
0.4855,0.4702518890586218
0.4875,0.471663829931805
0.4905,0.4698050878650619
0.4655,0.47223845021085903
0.487,0.46769705592086175
0.4895,0.470451660460805
0.494,0.47099600319726675
0.489,0.4730285510687665
0.4865,0.4747726005036961
0.4875,0.4733824004353115
0.4795,0.47386291951688664
0.4955,0.4746933523294811
0.4905,0.4702996452800901
0.491,0.47274417451949713
0.484,0.47325651705744315
0.4765,0.47400934993880106
0.4935,0.4705590593104497
0.472,0.47166151623254593
0.457,0.4741158973092513
0.4855,0.47405813835620425
0.4925,0.4737812925290062
0.476,0.47587995627270074
0.4755,0.47429062896344587
0.4865,0.4726057222296625
0.5105,0.4710721380999008
0.488,0.4721594286149673
0.488,0.47176888354228863
0.487,0.46957350356571936
0.484,0.4717180228768398
0.472,0.47302858561115657
0.5,0.4740375374794783
0.4705,0.47360229112676305
0.475,0.47242070132206926
0.492,0.46971871901401385
0.4535,0.4711340837197942
0.489,0.4690454439171726
0.481,0.47012236498923154
0.4485,0.47086384975879164
0.4865,0.47518251391431005
0.4945,0.4735473538530772
0.4825,0.47238182855827815
0.4835,0.4721850287370898
0.4715,0.4752160552144819
0.484,0.4756545500328655
0.4915,0.4734587918327615
0.4945,0.4724478154617231
0.4415,0.47410539000650403
0.483,0.47517112111484083
0.471,0.4747140094024752
0.486,0.4739091306430565
0.4865,0.4720388044999158
0.4935,0.472599366871028
0.493,0.46843672069992304
0.4925,0.47001525638614233
0.4875,0.4714225378154681
0.4945,0.47520601382922023
0.478,0.4743843736800287
0.489,0.4759233698783142
0.481,0.47421626038231324
0.4885,0.47424505118544247
0.476,0.474155785384276
0.486,0.4753637774457106
0.4735,0.4742583784610683
0.488,0.4757402060818524
0.4995,0.47552370890064755
0.4875,0.47004913708575985
0.49,0.47067400478725124
0.5025,0.47149704180408214
0.492,0.4726347735952201
0.4875,0.4746929904248621
0.497,0.4697068986526486
0.483,0.4739906007539657
0.4895,0.47585334832620224
0.4925,0.474424073775514
0.487,0.469923158948489
0.48,0.4717753608663982
0.4865,0.4707504758744159
0.484,0.4706390624492006
0.4845,0.46991255787787967
0.479,0.4742732086432062
0.484,0.472153629572736
0.479,0.47475568599576334
0.4975,0.4741239459374623
0.486,0.4728467606018469
0.477,0.4735613479489824
0.477,0.4728267324303529
0.482,0.4733068887952635
0.4975,0.4722899487867769
0.4815,0.4689086804260787
0.493,0.46865115272465474
0.484,0.4697258093631057
0.4955,0.4704742742228873
0.472,0.47526752990569004
0.498,0.47595813690868904
0.4815,0.47380313652314676
0.4775,0.47520744406387116
0.4895,0.4750323370805993
0.491,0.47386551321646797
0.485,0.47138933726354126
0.491,0.4693829234568523
0.4885,0.4704649501524961
0.4925,0.467975161710348
0.494,0.4713669536609582
0.474,0.46972798680529326
0.5045,0.47412903735783474
0.487,0.4717478135245994
0.4815,0.4738513440365177
0.4835,0.4731205635768489
0.4815,0.4724701627617633
0.406,0.47572784352802755
0.4815,0.47340474631404283
0.4825,0.46999497810652446
0.501,0.47021967571177636
0.4775,0.47316959666543196
0.4915,0.4739401259703141
0.4825,0.4757212014907148
0.4855,0.4763191354766345
0.4885,0.4731262376784475
0.4895,0.4699602549987235
0.476,0.47276972015816354
0.484,0.476270656677689
0.4885,0.47597856054651233
0.486,0.47517125892865253
0.495,0.476110049741689
0.4855,0.4700467985115186
0.4825,0.47404397282757127
0.4865,0.4727028850372303
0.475,0.4721088117541369
0.481,0.4745952001472452
0.4905,0.4738227842721213
0.4185,0.4743005204873526
0.445,0.4737536330481342
0.49,0.47377308278574265
0.4865,0.47183422736890623
0.482,0.47393272789101937
0.482,0.47195623420299904
0.4865,0.47286210847770804
0.4855,0.4679327860430828
0.4915,0.4706492485162545
0.488,0.47095996978683485
0.489,0.47240809498339653
0.4815,0.4736539816058444
0.487,0.4736446771847638
