Ein,epsilon
0.3775,0.3775000000000002
0.489,0.4412510971036464
0.4425,0.4323968993010402
0.405,0.4349481486732829
0.4725,0.44916997157241634
0.4785,0.4478406024907255
0.4725,0.4527926281327851
0.4665,0.4573286557070811
0.4705,0.45583517879639107
0.464,0.4577201023051477
0.439,0.460504976968637
0.439,0.4580376556438605
0.47,0.4630638257972576
0.4755,0.46432611808881796
0.4765,0.4537034654018692
0.471,0.46359044507320923
0.473,0.4629820419912468
0.4705,0.4654848476750309
0.4535,0.4620562174211025
0.4735,0.455767636960427
0.47,0.46527686830375714
0.475,0.4607494533264593
0.4725,0.4649009407707684
0.475,0.4619798743963818
0.467,0.4649592752832702
0.4645,0.46626797025130495
0.472,0.4672090197744977
0.475,0.4631197768826036
0.479,0.4659972523992245
0.4655,0.46307148233360707
0.4655,0.4671137993909966
0.47,0.46453234804638566
0.479,0.46576791195011585
0.476,0.46613711410381503
0.4755,0.4654898732009029
0.476,0.4667748732741549
0.475,0.4673734495554209
0.477,0.46548472243771977
0.4805,0.4633709337080496
0.476,0.46517766563381824
0.478,0.46662659621315206
0.479,0.4645473859929915
0.4825,0.4625361244883041
0.453,0.4616631504093207
0.4775,0.4622512201435905
0.521,0.46438870441522373
0.418,0.46518574193534123
0.4535,0.46277198922992147
0.478,0.45907010542869503
0.475,0.46630750920613556
0.472,0.4657802854131189
0.4715,0.46599264142417696
0.479,0.4670402956906412
0.48,0.46751635449329304
0.476,0.4638346536891003
0.4775,0.4675172459614329
0.4815,0.4674578530638871
0.478,0.4632432660754478
0.473,0.46904746474177283
0.478,0.4640510289195563
0.4785,0.46394609652442864
0.479,0.466443596867217
0.4075,0.4636413370479765
0.532,0.46390938399660353
0.5075,0.46589491601089345
0.4755,0.4637934756500903
0.4655,0.4667755527899114
0.4765,0.46729175918276666
0.499,0.46879509060467145
0.476,0.4675523617616878
0.384,0.46834464693875094
0.4825,0.46819598245166205
0.478,0.4650556109828534
0.4805,0.4665707120150747
0.476,0.46696206316321404
0.484,0.4677850875375649
0.4845,0.46835574636612304
0.472,0.46869089103466244
0.466,0.4686981151182835
0.4795,0.46825026204292325
0.4795,0.4657804737229554
0.4735,0.4681856530633176
0.4805,0.46616735856784275
0.4805,0.46514423067717736
0.485,0.46547543142548964
0.4765,0.4676783039781286
0.474,0.46833704562597717
0.476,0.4689837010424431
0.4765,0.4679984876290603
0.4855,0.46662987718000815
0.477,0.4685640498053141
0.472,0.4668059678790719
0.4705,0.4685207859711077
0.4795,0.4688740077389259
0.481,0.46758388439173176
0.4835,0.4686940882267575
0.478,0.46579521927525147
0.4785,0.4675119866315642
0.4815,0.46850415687306457
0.478,0.46867028215012085
0.4785,0.46954734073837595
0.485,0.46938795365508756
0.476,0.46956174478000134
0.4805,0.469596083637454
0.479,0.4690813769806096
0.4785,0.4690059813372867
0.474,0.46355445171835086
0.474,0.46887111146240035
0.478,0.46958636387063235
0.479,0.4677972214381513
0.4775,0.4631149023122436
0.4895,0.4622916222382708
0.488,0.4641586446118352
0.4755,0.46643992904430087
0.4795,0.47000825863530743
0.4815,0.4675099649263491
0.458,0.46831611557963326
0.4825,0.46719615057506436
0.4735,0.46895017167213643
0.472,0.46892021614907997
0.4765,0.4685643422408214
0.4855,0.46903881437011985
0.4775,0.46943532092348017
0.4835,0.4718537640981125
0.472,0.4699865433089868
0.496,0.46811735906463753
0.4875,0.471304477962552
0.484,0.4712385024314778
0.4855,0.46709846791001525
0.483,0.4690533009782435
0.487,0.46792819375864914
0.4815,0.4663762627812962
0.405,0.4696854229819869
0.4905,0.469180247300812
0.47,0.4637119421222005
0.4825,0.4703521290264277
0.4815,0.4701144631412254
0.485,0.4699933400645969
0.483,0.4704467967269391
0.485,0.47037804903529284
0.4845,0.470600254457563
0.4885,0.4709242922476242
0.49,0.4706977898931323
0.49,0.4686178496239625
0.475,0.46396576782359633
0.489,0.46668359898915257
0.488,0.46266626173916314
0.4765,0.4677262060419419
0.484,0.467678685673243
0.4815,0.4692796192013371
0.4885,0.47069454713613795
0.481,0.46663496567245816
0.4795,0.46668260627001507
