round,gamma,eval
43,100,0.49475237782879633
44,0.01,0.023860282059691706
44,0.1,0.2220400131190554
44,1,0.5056575926533289
44,10,0.5056575926533289
44,100,0.5056575926533289
45,0.01,0.025336175795342752
45,0.1,0.2060511643161692
45,1,0.505821580846179
45,10,0.505821580846179
45,100,0.505821580846179
46,0.01,0.022056411938340403
46,0.1,0.0736306985897015
46,1,0.4956543128894719
46,10,0.4956543128894719
46,100,0.4956543128894719
47,0.01,0.0268120695309938
47,0.1,0.18588061659560506
47,1,0.49475237782879633
47,10,0.49475237782879633
47,100,0.49475237782879633
48,0.01,0.02566415218104301
48,0.1,0.2832896031485732
48,1,0.5063955395211546
48,10,0.5063955395211546
48,100,0.5063955395211546
49,0.01,0.024844211216792367
49,0.1,0.13791407018694657
49,1,0.4948343719252214
49,10,0.4948343719252214
49,100,0.4948343719252214
50,0.01,0.020908494588389614
50,0.1,0.25688750409970484
50,1,0.505739586749754
50,10,0.505739586749754
50,100,0.505739586749754
51,0.01,0.023040341095441175
51,0.1,0.2573794686782551
51,1,0.5063955395211546
51,10,0.5063955395211546
51,100,0.5063955395211546
52,0.01,0.0268120695309938
52,0.1,0.12282715644473596
52,1,0.4950803542144966
52,10,0.4950803542144966
52,100,0.4950803542144966
53,0.01,0.028861921941620183
53,0.1,0.19309609708101017
53,1,0.49475237782879633
53,10,0.49475237782879633
53,100,0.49475237782879633
54,0.01,0.025746146277468074
54,0.1,0.11659560511643163
54,1,0.4950803542144966
54,10,0.4950803542144966
54,100,0.4950803542144966
55,0.01,0.020006559527713907
55,0.1,0.2911610364053788
55,1,0.5063135454247294
55,10,0.5063135454247294
55,100,0.5063135454247294
56,0.01,0.03148573302722202
56,0.1,0.13930796982617255
56,1,0.49491636602164646
56,10,0.49491636602164646
56,100,0.49491636602164646
57,0.01,0.029845851098720844
57,0.1,0.24221056083961956
57,1,0.5060675631354543
57,10,0.5060675631354543
57,100,0.5060675631354543
58,0.01,0.0286159396523451
58,0.1,0.12413906198753688
58,1,0.4948343719252214
58,10,0.4948343719252214
58,100,0.4948343719252214
59,0.01,0.027304034109544073
59,0.1,0.2733683174811413
59,1,0.5059855690390291
59,10,0.5059855690390291
59,100,0.5059855690390291
60,0.01,0.023450311577566385
60,0.1,0.18924237454903248
60,1,0.49467038373237127
60,10,0.49467038373237127
60,100,0.49467038373237127
61,0.01,0.024024270252541835
61,0.1,0.20482125286979336
61,1,0.5055755985569039
61,10,0.5055755985569039
61,100,0.5055755985569039
62,0.01,0.021646441456215193
62,0.1,0.2822236798950476
62,1,0.5062315513283044
62,10,0.5062315513283044
62,100,0.5062315513283044
63,0.01,0.025418169891767817
63,0.1,0.23704493276484095
63,1,0.5059035749426041
63,10,0.5059035749426041
63,100,0.5059035749426041
64,0.01,0.022302394227615596
64,0.1,0.08027222040013116
64,1,0.49516234831092165
64,10,0.49516234831092165
64,100,0.49516234831092165
65,0.01,0.02820596917021978
65,0.1,0.13168251885864213
65,1,0.49475237782879633
65,10,0.49475237782879633
65,100,0.49475237782879633
66,0.01,0.025336175795342752
66,0.1,0.22056411938340437
66,1,0.505821580846179
66,10,0.505821580846179
66,100,0.505821580846179
67,0.01,0.02959986880944565
67,0.1,0.1498032141685799
67,1,0.4948343719252214
67,10,0.4948343719252214
67,100,0.4948343719252214
68,0.01,0.019842571334864
68,0.1,0.1607904230895375
68,1,0.49475237782879633
68,10,0.49475237782879633
68,100,0.49475237782879633
69,0.01,0.022794358806165982
69,0.1,0.2195801902263037
69,1,0.5059035749426041
69,10,0.5059035749426041
69,100,0.5059035749426041
70,0.01,0.02566415218104301
70,0.1,0.23983273204329292
70,1,0.5059035749426041
70,10,0.5059035749426041
70,100,0.5059035749426041
71,0.01,0.023204329288291192
71,0.1,0.06067563135454246
71,1,0.4953263365037718
71,10,0.4953263365037718
71,100,0.4953263365037718
72,0.01,0.025992128566743156
72,0.1,0.025582158084617945
72,1,0.49557231879304686
72,10,0.49557231879304686
72,100,0.49557231879304686
73,0.01,0.021072482781239743
73,0.1,0.2688586421777631
73,1,0.5063135454247294
73,10,0.5063135454247294
73,100,0.5063135454247294
74,0.01,0.023614299770416514
74,0.1,0.11118399475237783
74,1,0.4953263365037718
74,10,0.4953263365037718
74,100,0.4953263365037718
75,0.01,0.030255821580846165
75,0.1,0.21884224335847824
75,1,0.5059855690390291
75,10,0.5059855690390291
75,100,0.5059855690390291
76,0.01,0.026484093145293652
76,0.1,0.20236142997704165
76,1,0.5055755985569039
76,10,0.5055755985569039
76,100,0.5055755985569039
77,0.01,0.020170547720564147
77,0.1,0.22244998360118073
77,1,0.5059855690390291
77,10,0.5059855690390291
77,100,0.5059855690390291
78,0.01,0.02550016398819277
78,0.1,0.16120039357166283
78,1,0.4945883896359462
78,10,0.4945883896359462
78,100,0.4945883896359462
79,0.01,0.022548376516890678
79,0.1,0.2850934732699245
79,1,0.505739586749754
79,10,0.505739586749754
79,100,0.505739586749754
80,0.01,0.02591013447031809
80,0.1,0.27058051820268925
80,1,0.5062315513283044
80,10,0.5062315513283044
80,100,0.5062315513283044
81,0.01,0.022220400131190532
81,0.1,0.3092817317153166
81,1,0.5067235159068547
81,10,0.5067235159068547
81,100,0.5067235159068547
82,0.01,0.030583797966546533
82,0.1,0.055346015086913614
82,1,0.4956543128894719
82,10,0.4956543128894719
82,100,0.4956543128894719
83,0.01,0.022138406034765357
83,0.1,0.14816333224007883
83,1,0.4945883896359462
83,10,0.4945883896359462
83,100,0.4945883896359462
84,0.01,0.023860282059691706
84,0.1,0.15283699573630694
84,1,0.4950803542144966
84,10,0.4950803542144966
84,100,0.4950803542144966
85,0.01,0.0268120695309938
85,0.1,0.17325352574614628
85,1,0.5055755985569039
85,10,0.5055755985569039
85,100,0.5055755985569039
86,0.01,0.027222040013118898
86,0.1,0.16595605116431633
86,1,0.49475237782879633
86,10,0.49475237782879633
86,100,0.49475237782879633
87,0.01,0.03525746146277475
87,0.1,0.09084945883896356
87,1,0.4948343719252214
87,10,0.4948343719252214
87,100,0.4948343719252214
88,0.01,0.026566087241718606
88,0.1,0.3331420137750082
88,1,0.5063955395211546
88,10,0.5063955395211546
88,100,0.5063955395211546
89,0.01,0.029927845195145908
89,0.1,0.17128566743194495
89,1,0.4948343719252214
89,10,0.4948343719252214
89,100,0.4948343719252214
90,0.01,0.024598228927517174
90,0.1,0.22909150541161039
90,1,0.5056575926533289
90,10,0.5056575926533289
90,100,0.5056575926533289
91,0.01,0.025582158084617945
91,0.1,0.25754345687110525
91,1,0.5056575926533289
91,10,0.5056575926533289
91,100,0.5056575926533289
92,0.01,0.025336175795342752
92,0.1,0.06411938340439494
92,1,0.49516234831092165
92,10,0.49516234831092165
92,100,0.49516234831092165
93,0.01,0.025582158084617945
93,0.1,0.14611347982945233
93,1,0.4949983601180715
93,10,0.4949983601180715
93,100,0.4949983601180715
94,0.01,0.02820596917021978
94,0.1,0.20260741226631684
94,1,0.49475237782879633
94,10,0.49475237782879633
94,100,0.49475237782879633
95,0.01,0.025336175795342752
95,0.1,0.26402099048868477
95,1,0.5055755985569039
95,10,0.5055755985569039
95,100,0.5055755985569039
96,0.01,0.032879632666448
96,0.1,0.10208265004919648
96,1,0.4954903246966218
96,10,0.4954903246966218
96,100,0.4954903246966218
97,0.01,0.022712364709740918
97,0.1,0.14275172187602492
97,1,0.4948343719252214
97,10,0.4948343719252214
97,100,0.4948343719252214
98,0.01,0.02492620531321743
98,0.1,0.22572974745818297
98,1,0.5060675631354543
98,10,0.5060675631354543
98,100,0.5060675631354543
99,0.01,0.025172187602492624
99,0.1,0.10938012463102653
99,1,0.4952443424073467
99,10,0.4952443424073467
99,100,0.4952443424073467
100,0.01,0.02664808133814356
100,0.1,0.23983273204329292
100,1,0.505821580846179
100,10,0.505821580846179
100,100,0.505821580846179
101,0.01,0.034519514594949174
101,0.1,0.12487700885536246
101,1,0.4949983601180715
101,10,0.4949983601180715
101,100,0.4949983601180715
102,0.01,0.024762217120367302
102,0.1,0.1592325352574615
102,1,0.49491636602164646
102,10,0.49491636602164646
102,100,0.49491636602164646
103,0.01,0.020334535913414276
103,0.1,0.23032141685798624
103,1,0.505821580846179
103,10,0.505821580846179
103,100,0.505821580846179
104,0.01,0.023614299770416514
104,0.1,0.1857986224991801
104,1,0.4945883896359462
104,10,0.4945883896359462
104,100,0.4945883896359462
105,0.01,0.02705805182026888
105,0.1,0.07289275172187604
105,1,0.4953263365037718
105,10,0.4953263365037718
105,100,0.4953263365037718
106,0.01,0.024680223023942127
106,0.1,0.19768776648081343
106,1,0.505739586749754
106,10,0.505739586749754
106,100,0.505739586749754
107,0.01,0.02336831748114132
107,0.1,0.20908494588389626
107,1,0.5059035749426041
107,10,0.5059035749426041
107,100,0.5059035749426041
108,0.01,0.019842571334864
108,0.1,0.2249918005903575
108,1,0.505739586749754
108,10,0.505739586749754
108,100,0.505739586749754
109,0.01,0.020580518202689246
109,0.1,0.24901607084289934
109,1,0.5059855690390291
109,10,0.5059855690390291
109,100,0.5059855690390291
110,0.01,0.030255821580846165
110,0.1,0.030009839291570972
110,1,0.49557231879304686
110,10,0.49557231879304686
110,100,0.49557231879304686
111,0.01,0.027550016398819266
111,0.1,0.15865857658248605
111,1,0.49467038373237127
111,10,0.49467038373237127
111,100,0.49467038373237127
112,0.01,0.025418169891767817
112,0.1,0.19244014430960976
112,1,0.5056575926533289
112,10,0.5056575926533289
112,100,0.5056575926533289
113,0.01,0.030255821580846165
113,0.1,0.09281731715316499
113,1,0.4949983601180715
113,10,0.4949983601180715
113,100,0.4949983601180715
114,0.01,0.024598228927517174
114,0.1,0.14726139717940312
114,1,0.49491636602164646
114,10,0.49491636602164646
114,100,0.49491636602164646
115,0.01,0.019514594949163633
115,0.1,0.2092489340767465
115,1,0.505821580846179
115,10,0.505821580846179
115,100,0.505821580846179
116,0.01,0.022056411938340403
116,0.1,0.16472613971794037
116,1,0.49475237782879633
116,10,0.49475237782879633
116,100,0.49475237782879633
117,0.01,0.020580518202689246
117,0.1,0.26787471302066246
117,1,0.5061495572318793
117,10,0.5061495572318793
117,100,0.5061495572318793
118,0.01,0.026566087241718606
118,0.1,0.17505739586749758
118,1,0.4945883896359462
118,10,0.4945883896359462
118,100,0.4945883896359462
119,0.01,0.022548376516890678
119,0.1,0.15398491308625784
119,1,0.4889307969826172
119,10,0.502787799278452
119,100,0.49450639553952114
120,0.01,0.021072482781239743
120,0.1,0.19096425057395872
120,1,0.505739586749754
120,10,0.505739586749754
120,100,0.505739586749754
121,0.01,0.025418169891767817
121,0.1,0.16185634634306334
121,1,0.4972941948179731
121,10,0.5045916693998032
121,100,0.5054936044604789
122,0.01,0.024188258445391964
122,0.1,0.22392587733683167
122,1,0.4945883896359462
122,10,0.4945883896359462
122,100,0.4945883896359462
123,0.01,0.024352246638242203
123,0.1,0.28747130206625127
123,1,0.5061495572318793
123,10,0.5061495572318793
123,100,0.5061495572318793
124,0.01,0.024270252541817028
124,0.1,0.10175467366349622
124,1,0.4953263365037718
124,10,0.4953263365037718
124,100,0.4953263365037718
125,0.01,0.022876352902591046
125,0.1,0.13709412922269593
125,1,0.4948343719252214
125,10,0.4948343719252214
125,100,0.4948343719252214
126,0.01,0.01828468350278778
126,0.1,0.18473269924565427
126,1,0.49827812397507376
126,10,0.5046736634962283
126,100,0.49450639553952114
127,0.01,0.028041980977369763
127,0.1,0.09453919317809123
127,1,0.4950803542144966
127,10,0.4950803542144966
127,100,0.4950803542144966
128,0.01,0.02156444735979013
128,0.1,0.25934732699245655
128,1,0.5059035749426041
128,10,0.5059035749426041
128,100,0.5059035749426041
